"empresa","ano","retorno_anual","ceo","chairman","ibrx","ceo_chair"
"BRPR3",2010,NA,0,0,0,0
"BRPR3",2011,0.05,0,0,1,0
"BRPR3",2012,0.45,0,0,1,0
"BRPR3",2013,-0.25,0,0,1,0
"BRPR3",2014,-0.19,0,0,1,0
"BRPR3",2015,0.03,0,0,1,0
"BRPR3",2016,-0.12,0,0,1,0
"BRPR3",2017,0.42,0,0,1,0
"BRPR3",2018,NA,0,0,0,0
"BRPR3",2019,NA,0,0,0,0
"BRAP4",2009,1.08,0,0,1,0
"BRAP4",2010,0.15,0,0,1,0
"BRAP4",2011,-0.23,0,0,1,0
"BRAP4",2012,0.11,0,0,1,0
"BRAP4",2013,-0.2,0,0,1,0
"BRAP4",2014,-0.37,0,0,1,0
"BRAP4",2015,-0.61,0,0,1,0
"BRAP4",2016,2.04,0,0,1,0
"BRAP4",2017,1,0,0,1,0
"BRAP4",2018,0.14,0,0,1,0
"BRAP4",2019,0.28,0,0,1,0
"BBRK3",2009,NA,0,0,0,0
"BBRK3",2010,0.5,0,0,1,0
"BBRK3",2011,-0.39,0,0,1,0
"BBRK3",2012,0.32,0,0,1,0
"BBRK3",2013,-0.1,0,0,1,0
"BBRK3",2014,NA,0,0,0,0
"BBRK3",2015,NA,0,0,0,0
"BBRK3",2016,NA,0,0,0,0
"BBRK3",2017,NA,0,0,0,0
"BBRK3",2018,NA,0,0,0,0
"BBRK3",2019,NA,0,0,0,0
"BRTP4",2009,NA,0,0,0,0
"BRTP4",2010,NA,0,0,0,0
"BRTP4",2011,NA,0,0,0,0
"BRTP4",2012,NA,0,0,0,0
"BRTP4",2013,NA,0,0,0,0
"BRTP4",2014,NA,0,0,0,0
"BRTP4",2015,NA,0,0,0,0
"BRTP4",2016,NA,0,0,0,0
"BRTP4",2017,NA,0,0,0,0
"BRTP4",2018,NA,0,0,0,0
"BRTP4",2019,NA,0,0,0,0
"BRKM5",2009,1.54,0,0,1,0
"BRKM5",2010,0.45,0,0,1,0
"BRKM5",2011,-0.35,0,0,1,0
"BRKM5",2012,0.01,0,0,1,0
"BRKM5",2013,0.64,0,0,1,0
"BRKM5",2014,-0.13,0,0,1,0
"BRKM5",2015,0.66,0,0,1,0
"BRKM5",2016,0.32,0,0,1,0
"BRKM5",2017,0.28,0,0,1,0
"BRKM5",2018,0.15,0,0,1,0
"BRKM5",2019,-0.35,0,0,1,0
"BRFS3",2009,0.53,0,0,1,0
"BRFS3",2010,0.22,0,0,1,0
"BRFS3",2011,0.36,0,0,1,0
"BRFS3",2012,0.18,0,0,1,0
"BRFS3",2013,0.18,0,0,1,0
"BRFS3",2014,0.31,0,0,1,0
"BRFS3",2015,-0.11,0,0,1,0
"BRFS3",2016,-0.14,0,0,1,0
"BRFS3",2017,-0.23,0,0,1,0
"BRFS3",2018,-0.4,0,0,1,0
"BRFS3",2019,0.61,0,0,1,0
"BISA3",2009,2.34,0,0,1,0
"BISA3",2010,0.12,0,0,1,0
"BISA3",2011,-0.41,0,0,1,0
"BISA3",2012,-0.25,0,0,1,0
"BISA3",2013,-0.66,0,0,1,0
"BISA3",2014,NA,0,0,0,0
"BISA3",2015,NA,0,0,0,0
"BISA3",2016,NA,0,0,0,0
"BISA3",2017,NA,0,0,0,0
"BISA3",2018,NA,0,0,0,0
"BISA3",2019,NA,0,0,0,0
"CCIM3",2009,NA,0,0,0,0
"CCIM3",2010,NA,0,0,0,0
"CCIM3",2011,NA,0,0,0,0
"CCIM3",2012,NA,0,0,0,0
"CCIM3",2013,NA,0,0,0,0
"CCIM3",2014,NA,0,0,0,0
"CCIM3",2015,NA,0,0,0,0
"CCIM3",2016,NA,0,0,0,0
"CCIM3",2017,NA,0,0,0,0
"CCIM3",2018,NA,0,0,0,0
"CCIM3",2019,NA,0,0,0,0
"CCRO3",2009,0.78,0,0,1,0
"CCRO3",2010,0.23,0,0,1,0
"CCRO3",2011,0.09,0,0,1,0
"CCRO3",2012,0.65,0,0,1,0
"CCRO3",2013,-0.05,0,0,1,0
"CCRO3",2014,-0.09,0,0,1,0
"CCRO3",2015,-0.15,0,0,1,0
"CCRO3",2016,0.3,0,0,1,0
"CCRO3",2017,0.08,0,0,1,0
"CCRO3",2018,-0.27,0,0,1,0
"CCRO3",2019,0.78,0,0,1,0
"CCXC3",2009,NA,0,0,0,0
"CCXC3",2010,NA,0,0,0,0
"CCXC3",2011,NA,0,0,0,0
"CCXC3",2012,NA,0,0,1,0
"CCXC3",2013,NA,0,0,0,0
"CCXC3",2014,NA,0,0,0,0
"CCXC3",2015,NA,0,0,0,0
"CCXC3",2016,NA,0,0,0,0
"CCXC3",2017,NA,0,0,0,0
"CCXC3",2018,NA,0,0,0,0
"CCXC3",2019,NA,0,0,0,0
"CLSC4",2009,0.07,0,0,1,0
"CLSC4",2010,NA,0,0,0,0
"CLSC4",2011,NA,0,0,0,0
"CLSC4",2012,NA,0,0,0,0
"CLSC4",2013,NA,0,0,0,0
"CLSC4",2014,NA,0,0,0,0
"CLSC4",2015,NA,0,0,0,0
"CLSC4",2016,NA,0,0,0,0
"CLSC4",2017,NA,0,0,0,0
"CLSC4",2018,NA,0,0,0,0
